"Ident";"Feldnummer";"Bezeichnung";"Vollkosten";"Erloes";"Entsch1";"Entsch2";"Abg_RPV";"Abg_3";"X3_1";"X3_2";"PKM";"Einsteiger";"Prod_km";"Beiwagen_1";"Fahrpl_Std";"Prod_Std";"Beiwagen_2";"Platz_km";"PersKosten";"dat_o1";"dat_o2";"bem0";"bem1";"bem2";"bem3";"bem4";"bem5";"BDH_ID";"PeriodIndependentId";"AnzahlKurspaareMoFr";"AnzahlKurspaareSa";"AnzahlKurspaareSo";"LinienLaenge";"BelastungTeilstueckeMin";"BelastungTeilstueckeMax";"jahr";"TU"
1;"80.19";"190 Teufen - Speicher (- Speicherschwendi)";"372731";"114557";NA;NA;201891;"60000";"60000";NA;"233480";"56514";"64242";NA;"2389";"3716";NA;"4557122";NA;"30.09.2019 00:00";"80190-21-1a";NA;NA;"Gemeinde Speicher";NA;"";NA;32668;861;NA;NA;NA;NA;NA;NA;"2021";"AB"
2;"841 N";"S15 Frauenfeld - Wil SG (Nachtangebot)";"80536";"16005";NA;NA;117900;NA;NA;NA;"52540";"4980";"5127";NA;"137";"154";NA;"691939";NA;"20.09.2019 00:00";"84121-21-1a";NA;NA;"";NA;"";NA;51148;12659;NA;NA;NA;NA;NA;NA;"2021";"AB"
3;"841";"S15 Frauenfeld - Wil SG";"9580940";"3883571";NA;NA;3706291;NA;NA;NA;"9722745";"971102";"528485";NA;"14279";"21628";NA;"70288535";NA;"20.09.2019 00:00";"84100-21-2a";NA;NA;"";NA;"Linienergebnis beinhaltet PK-Massnahmen (Kosten und Darlehenserlass) i.Z. mit Fusion";NA;51161;12660;NA;NA;NA;NA;NA;NA;"2021";"AB"
4;"841 B";"M¸nchwilen - Frauenfeld Marktplatz (Bus)";"40258";"19091";NA;NA;21597;NA;NA;NA;"69597";"6723";"2702";NA;"79";"115";NA;"268557";NA;"20.09.2019 00:00";"84190-21-1a";NA;NA;"";NA;"";NA;51152;12658;NA;NA;NA;NA;NA;NA;"2021";"AB"
5;"854";"S23 Gossau SG - Herisau - Appenzell - Wasserauen";"9924339";"3601785";NA;NA;6666278;NA;NA;NA;"14239493";"1156445";"727146";NA;"18705";"23491";NA;"127376090";NA;"30.09.2019 00:00";"85400-21-2a";NA;NA;"";NA;"";NA;32665;858;NA;NA;NA;NA;NA;NA;"2021";"AB"
6;"854";"Appenzell - Wasserauen (Bus)";"113520";"22578";NA;NA;88275;NA;NA;NA;"37578";"9163";"13280";NA;"236";"366";NA;"912330";NA;"30.09.2019 00:00";"85490-21-1a";NA;NA;"";NA;"";NA;33932;2446;NA;NA;NA;NA;NA;NA;"2021";"AB"
7;"855";"S21/22 Appenzell - Gais - St. Gallen (- Trogen)";"9083536";"3784750";NA;NA;5193354;NA;NA;NA;"13708901";"1422926";"608283";NA;"21303";"25546";NA;"89417585";NA;"30.09.2019 00:00";"85500-21-1a";NA;NA;"";NA;"";NA;32666;859;NA;NA;NA;NA;NA;NA;"2021";"AB"
8;"855";"S21/S22 (Appenzell -) St. Gallen - Speicher - Trogen";"5816459";"2416844";NA;NA;3639207;NA;NA;NA;"6275274";"1202535";"351848";NA;"15683";"16871";NA;"51721604";NA;"30.09.2019 00:00";"85900-21-1a";NA;NA;"";NA;"";NA;32705;1586;NA;NA;NA;NA;NA;NA;"2021";"AB"
9;"855";"St. Gallen - Gais - Appenzell (Nachtangebot Bus)";"120827";"23578";NA;NA;75220;NA;NA;NA;"85170";"7906";"5706";NA;"180";"207";NA;"456459";NA;"30.09.2019 00:00";"85520-21-1a";NA;NA;"";NA;"";NA;33319;1762;NA;NA;NA;NA;NA;NA;"2021";"AB"
10;"855";"St. Gallen - Trogen (Nachtangebot Bus)";"61100";"12330";NA;NA;38939;NA;NA;NA;"28227";"5987";"2914";NA;"92";"106";NA;"233085";NA;"30.09.2019 00:00";"85920-21-1a";NA;NA;"";NA;"";NA;33320;1763;NA;NA;NA;NA;NA;NA;"2021";"AB"
11;"856";"S24 Gais - Altst‰tten Stadt";"1554151";"291292";NA;NA;1027838;NA;NA;NA;"798830";"127416";"71277";NA;"3257";"4597";NA;"6129843";NA;"30.09.2019 00:00";"85600-21-1a";NA;NA;"";NA;"";NA;32667;860;NA;NA;NA;NA;NA;NA;"2021";"AB"
12;"856";"Gais - Altst‰tten Stadt (Bus)";"85612";"19987";NA;NA;65700;NA;NA;NA;"44406";"5435";"14987";NA;"489";"653";NA;"1185028";NA;"30.09.2019 00:00";"85690-21-1a";NA;NA;"";NA;"";NA;33933;2445;NA;NA;NA;NA;NA;NA;"2021";"AB"
13;"857";"S25 Rorschach Hafen - Heiden";"1873796";"459419";NA;NA;1649827;NA;NA;NA;"1139264";"209139";"75731";NA;"4655";"5242";NA;"5301190";NA;"30.09.2019 00:00";"85700-21-1a";NA;NA;"";NA;"";NA;33270;1584;NA;NA;NA;NA;NA;NA;"2021";"AB"
14;"858";"S26 Rheineck - Walzenhausen";"879832";"165642";NA;NA;523916;NA;NA;NA;"147627";"76515";"33265";NA;"2132";"4964";NA;"931407";NA;"30.09.2019 00:00";"85800-21-1a";NA;NA;"";NA;"";NA;32955;1585;NA;NA;NA;NA;NA;NA;"2021";"AB"
1;"80.94";"940 Amriswil - Romanshorn (- Arbon)";"1013697";"283803";NA;NA;499531;"276056";"276056";NA;"1082398";"205561";"1082398";0;"6728";"9762";0;"14655870";"546028";"25.05.2022 00:00";"IST 2021";NA;NA;"Kanton TG";NA;NA;NA;32725;1065;29.5;14;14;9;430;402;"2021";"AOT"
2;"80.94";"940 (Amriswil -) Romanshorn - Arbon";"1061521";"346871";NA;NA;499399;"275984";"275984";NA;"1076175";"251242";"217126";0;"7673";"9195";0;"19541340";"514250";"25.05.2022 00:00";"IST 2021";NA;NA;"Kanton TG";NA;NA;NA;33326;1714;29.5;14;14;12;334;306;"2021";"AOT"
3;"80.941";"941 Amriswil - Arbon";"1421600";"359358";NA;NA;589245;"523774";"523774";NA;"1433442";"222159";"295069";0;"8812";"11968";0;"26556210";"695816";"25.05.2022 00:00";"IST 2021";NA;NA;"Kanton TG";NA;NA;NA;32724;1064;34;19;18;14;461;281;"2021";"AOT"
4;"80.942";"942 Amriswil - Muolen";"588266";"129399";NA;NA;242725;"166874";"166874";NA;"442230";"93849";"112953";0;"3639";"5156";0;"10165770";"300853";"25.05.2022 00:00";"IST 2021";NA;NA;"Kanton TG+SG";NA;NA;NA;32723;1063;27;14;14;7;249;242;"2021";"AOT"
5;"80.943";"943 Amriswil - Bischofszell Stadt";"1374211";"356956";NA;NA;576171;"329240";"329240";NA;"1345886";"235284";"244097";0;"8427";"12600";0;"21968730";"722164";"25.05.2022 00:00";"IST 2021";NA;NA;"Kanton TG";NA;NA;NA;32722;1062;33;20;19;10;563;413;"2021";"AOT"
1;"80.3";"300 Altst‰tten SG - Buchs SG";"3398941";"1288315";NA;NA;1435829;"588332";"574332";14000;"4671094";"571666";"783896";853;"22494";"25158";34;"73686224";"1513171";"23.05.2022 00:00";"Ist 2021";"";NA;"Kanton SG";"Schule Oberriet";NA;"";32426;1800;35;33;28;33.2;223;744;"2021";"BOS"
2;"80.301";"301 Heerbrugg - Marbach SG - Altst‰tten SG";"2566995";"1065875";NA;NA;701572;"643107";"643107";NA;"2926065";"678108";"429534";0;"16827";"21961";0;"38658060";"1309633";"23.05.2022 00:00";"Ist 2021";"";NA;"Kanton SG";"";NA;"";33255;1020;69;54;35;9.6;1047;1403;"2021";"BOS"
3;"80.301-304";"301-304 St. Margrethen - Heerbrugg / Heerbrugg - Altst‰tten SG - Oberriet SG / Berneck - Diepoldsau (Nachtangebot)";"49222";"11915";NA;NA;37963;NA;NA;NA;"37366";"6563";"6199";0;"181";"357";0;"557910";"11574";"23.05.2022 00:00";"Ist 2021";"";NA;"";"";NA;"";33356;1786;2;2;0;18.2;1;62;"2021";"BOS"
4;"80.302";"302 Heerbrugg - Berneck";"713792";"145022";NA;NA;231756;"195163";NA;NA;"268214";"120658";"65785";0;"2457";"6298";0;"3881315";"388778";"23.05.2022 00:00";"Ist 2021";"";NA;"";"";NA;"";33253;1018;35;32.5;30;2.7;167;329;"2021";"BOS"
5;"80.303";"303 Heerbrugg - Diepoldsau (- Hohenems (A))";"1422513";"477621";NA;NA;439004;"476850";"476850";NA;"1263906";"314195";"221728";0;"8936";"11247";0;"16629600";"759369";"23.05.2022 00:00";"Ist 2021";"";NA;"Kanton SG";"";NA;"";33254;1019;60.5;51;42;9.3;193;911;"2021";"BOS"
6;"80.303";"Diepoldsau Dorf - Diepoldsau Zoll (Verdichter)";"327038";"33335";NA;NA;NA;"317244";"317244";NA;"35042";"13852";"34153";0;"1972";"4038";0;"2561475";"207121";"23.05.2022 00:00";"Ist 2021";"";NA;"Kanton SG";"";NA;"";NA;NA;33.5;5.5;0;2;193;267;"2021";"BOS"
